"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.08.2022","98,58","98,01","98,96","97,36","17,05M","0,59%"
"23.08.2022","98,00","95,55","98,41","95,45","23,76M","4,24%"
"22.08.2022","94,01","93,42","94,49","91,86","16,02M","-0,07%"
"19.08.2022","94,08","94,16","95,20","93,80","16,13M","-0,32%"
"18.08.2022","94,38","93,15","95,31","93,09","17,77M","2,36%"
"17.08.2022","92,20","91,27","93,21","90,92","13,68M","0,81%"
"16.08.2022","91,46","92,03","92,89","91,29","14,04M","-0,93%"
"15.08.2022","92,32","90,53","92,73","89,66","20,76M","-1,79%"
"12.08.2022","94,00","92,48","94,02","92,11","15,06M","0,87%"
"11.08.2022","93,19","91,84","94,30","91,44","18,80M","1,90%"
"10.08.2022","91,45","90,68","91,79","89,18","18,30M","0,95%"
"09.08.2022","90,59","90,05","91,61","89,95","19,08M","1,84%"
"08.08.2022","88,95","88,61","89,60","88,22","14,47M","0,57%"
"05.08.2022","88,45","86,36","89,69","86,28","17,41M","1,45%"
"04.08.2022","87,19","90,31","90,34","86,43","31,82M","-4,21%"
"03.08.2022","91,02","94,42","94,42","90,79","23,58M","-3,24%"
"02.08.2022","94,07","94,69","95,20","93,82","16,72M","-0,43%"
"01.08.2022","94,48","94,79","95,35","93,23","20,79M","-2,53%"
"29.07.2022","96,93","94,45","97,51","94,10","29,83M","4,63%"
"28.07.2022","92,64","92,18","93,25","91,01","20,35M","1,17%"
"27.07.2022","91,57","90,28","92,00","89,40","18,05M","2,16%"
"26.07.2022","89,63","91,13","91,28","89,00","15,14M","-0,39%"
"25.07.2022","89,98","88,16","90,13","87,42","17,54M","3,33%"
"22.07.2022","87,08","87,55","88,47","86,63","15,48M","-0,76%"
"21.07.2022","87,75","86,93","87,80","85,21","21,38M","-1,67%"
"20.07.2022","89,24","87,58","89,65","87,25","16,58M","1,10%"
"19.07.2022","88,27","86,42","88,52","86,25","18,25M","2,52%"
"18.07.2022","86,10","86,58","87,94","85,75","19,40M","1,85%"
"15.07.2022","84,54","84,80","84,88","82,90","17,24M","1,68%"
"14.07.2022","83,14","81,85","83,31","80,69","26,34M","-2,00%"
"13.07.2022","84,84","83,38","86,31","83,30","19,93M","0,40%"
"12.07.2022","84,50","83,78","85,05","82,86","21,01M","-1,33%"
"11.07.2022","85,64","85,17","86,12","84,36","15,61M","-0,51%"
"08.07.2022","86,08","86,95","87,30","84,93","17,67M","0,16%"
"07.07.2022","85,94","85,38","86,76","85,30","23,82M","3,19%"
"06.07.2022","83,28","83,76","85,23","81,01","33,38M","-1,80%"
"05.07.2022","84,81","86,34","86,70","83,01","34,60M","-3,13%"
"01.07.2022","87,55","86,74","87,88","84,71","26,33M","2,23%"
"30.06.2022","85,64","86,14","87,60","84,67","39,95M","-2,81%"
"29.06.2022","88,12","92,98","93,20","87,75","25,40M","-3,69%"
"28.06.2022","91,50","91,12","93,24","90,35","33,12M","2,77%"
"27.06.2022","89,03","87,81","90,04","87,67","25,48M","2,45%"
"24.06.2022","86,90","86,95","88,40","85,81","26,64M","1,98%"
"23.06.2022","85,21","88,66","89,05","83,52","35,76M","-3,02%"
"22.06.2022","87,86","87,54","89,76","87,53","29,77M","-3,96%"
"21.06.2022","91,48","88,58","92,53","88,52","35,95M","6,22%"
"17.06.2022","86,12","90,96","91,35","85,65","64,61M","-5,77%"
"16.06.2022","91,39","92,41","93,13","90,28","35,70M","-3,69%"
"15.06.2022","94,89","95,99","96,57","93,27","29,62M","-1,26%"
"14.06.2022","96,10","97,41","98,67","95,27","31,26M","0,26%"
"13.06.2022","95,85","97,52","97,77","93,92","33,42M","-4,59%"
"10.06.2022","100,46","101,94","103,35","99,79","30,96M","-1,83%"
"09.06.2022","102,33","103,42","104,57","102,16","26,63M","-2,16%"
"08.06.2022","104,59","103,49","105,57","102,98","31,61M","1,18%"
"07.06.2022","103,37","99,70","103,43","99,49","37,81M","4,58%"
"06.06.2022","98,84","99,18","99,78","98,67","20,68M","-0,25%"
"03.06.2022","99,09","97,90","99,66","97,90","21,04M","1,45%"
"02.06.2022","97,67","97,29","98,10","96,79","19,09M","-0,17%"
"01.06.2022","97,84","97,02","98,71","96,62","25,82M","1,92%"
"31.05.2022","96,00","98,56","99,78","95,71","44,89M","-1,63%"
"27.05.2022","97,59","95,94","97,93","95,30","25,59M","0,98%"
"26.05.2022","96,64","96,60","97,43","96,20","24,31M","0,35%"
"25.05.2022","96,30","94,58","96,53","94,47","29,95M","2,01%"
